,submission,submit_time,hour_12,year,month,day,second,submission_type,zip_type
89,https://ckd.upgrad.com/UpGrad/b7a15111-4b45-43a9-a2b7-d2f77b18a8a8/DDA1610153.zip,03-01-2017 23:51,11:51:49 PM,2017,1,3,49,DDA1610153.zip,Y
90,https://ckd.upgrad.com/UpGrad/93fb305a-6bc4-4d52-a187-6fa05c2cd86a/DDA1610078.zip,09-01-2017 10:18,10:18:10 AM,2017,1,9,10,DDA1610078.zip,Y
91,https://ckd.upgrad.com/UpGrad/d7f243cd-af6f-4384-a340-cd387a9618d9/DDA1610229.zip,03-01-2017 23:48,11:48:45 PM,2017,1,3,45,DDA1610229.zip,Y
92,https://ckd.upgrad.com/UpGrad/3da649d8-faa0-4b6c-9faa-a84a2c869ba8/DDA1610115.zip,03-01-2017 21:18,09:18:59 PM,2017,1,3,59,DDA1610115.zip,Y
93,https://ckd.upgrad.com/UpGrad/a3b05347-32b0-4237-8542-acc8b96d633a/DDA1610159.zip,09-01-2017 03:24,03:24:36 AM,2017,1,9,36,DDA1610159.zip,Y
94,https://ckd.upgrad.com/UpGrad/d3c29483-787c-4b65-b28b-21cd9a1a3c1a/DDA1610082.zip,03-01-2017 23:48,11:48:09 PM,2017,1,3,9,DDA1610082.zip,Y
95,https://ckd.upgrad.com/UpGrad/abd34a57-b885-445a-a173-5fb201295407/DDA1610227.zip,03-01-2017 23:21,11:21:15 PM,2017,1,3,15,DDA1610227.zip,Y
96,https://ckd.upgrad.com/UpGrad/a314078b-2a6a-4b79-8d7c-b97d5bf2126c/DDA1610126.zip,03-01-2017 15:38,03:38:28 PM,2017,1,3,28,DDA1610126.zip,Y
97,https://ckd.upgrad.com/UpGrad/a620227c-83a5-4893-9d3c-74d56a5a44bd/DDA1610121.zip,02-01-2017 23:50,11:50:42 PM,2017,1,2,42,DDA1610121.zip,Y
98,https://ckd.upgrad.com/UpGrad/4712ca88-1aa5-4a55-824a-3ab4a71df656/DDA1610225.zip,03-01-2017 22:46,10:46:24 PM,2017,1,3,24,DDA1610225.zip,Y
